Zone,ClientBaseCount,RegionType
Agailjhara,449,Rural
Agardigun,653,Rural
Ajmiriganj,417,Rural
Akhaura,1942,Rural
Akkelpur,234,Rural
Alamdanga,1377,Rural
Alfadanga,832,Rural
Amadikoyra,1383,Rural
Ambalswarsrp,2,Rural
Ambariparbatipur,204,Rural
Amtali,210,Rural
Amtalisadar,184,Rural
Anuliaashasuni,292,Rural
Anwara,1,Rural
Arabpurjsr,3,Rural
Araihazar,2,Rural
Aranibagha,1,Rural
Ashuganj,1103,Rural
Asimbazarfulb,187,Rural
Ataikula,36,Rural
Ataparabgr,357,Rural
Atghoria,2,Rural
Athrogasiaamtl,27,Rural
Atpara,155,Rural
Atrai,1200,Rural
Atraisadar,310,Rural
Atraitmp,6,Rural
Atwari,532,Rural
Aushkandi,778,Rural
Babuganj,9,Rural
Babuganjsadar,10,Rural
Badalgachi,2342,Rural
Badargonj,112,Rural
Bagatipara,1,Rural
Bagha,965,Rural
Bahubal,366,Rural
Bahubalsadar,1547,Rural
Bailtalichandanaish,185,Rural
Baisaribanaripara,1267,Rural
Bajitpur,1346,Rural
Bakerganj,117,Rural
Balaganj,1212,Rural
Balaganjsadar,372,Rural
Baliadangi,828,Rural
Baliakandi,561,Rural
Bamna,2,Rural
Banaripara,942,Rural
Bancharampur,623,Rural
Bandar,345,Rural
Bandarban,129,Rural
Bandarbrsl,313,Rural
banglabazar,1,Rural
Baniachong,638,Rural
Bankrajsr,183,Rural
Barachowna,5,Rural
Baraigram,1194,Rural
Barguna,1164,Rural
Bargura,1,Rural
Barishalsadar,757,Rural
Barkalchandanaish,121,Rural
Barogaonsnm,549,Rural
Barura,428,Rural
Bashdoho_Satkhira,2,Rural
Bashdohostkh,405,Rural
Bashkhali,2,Rural
Bataichoribarura,2,Rural
Batgaonchtk,342,Rural
Batiaghata,81,Rural
Bauphal,2,Rural
Beanibazar,691,Rural
Belabo,3,Rural
Belkuchi,325,Rural
Belkuchisadar,311,Rural
Bera,145,Rural
Betbunia,302,Rural
Bhabaniganj,,Rural
Bhairab,160,Rural
Bhaluka,2,Rural
Bhandaria,669,Rural
Bhanga,202,Rural
Bhangura,434,Rural
Bhatgrambgr,1,Rural
Bhawalmirzapur,645,Rural
Bhedarganj,1180,Rural
Bheramara,689,Rural
Bholahat,943,Rural
Bholasadar,917,Rural
Bhomra,818,Rural
Bhonparaatrai,293,Rural
Bhuapur,1508,Rural
Bhujpurctg,281,Rural
Bhurungamari,283,Rural
Bijoynagar,3729,Rural
Bijoynagarsadar,541,Rural
Binnatibazarksrg,706,Rural
Birganj,374,Rural
Birganj,2,Rural
Birol,1076,Rural
Bishnupursatkhira,1518,Rural
Bishwambarpur,72,Rural
Bishwanath,2,Rural
Bitgharnabinagar,155,Rural
Boda,2300,Rural
Bogura,4,Rural
Bogura.,1,Rural
Bokshiganj,931,Rural
Bonarparagb,161,Rural
Bonpara,791,Rural
Boraikandirwm,1962,Rural
Borhanuddin,1492,Rural
Borochapamnhd,77,Rural
Brahmanbaria,2132,Rural
Brahmanpara,348,Rural
Burigoalinistk,225,Rural
Cepzctg,193,Rural
Chakaria,256,Rural
Chakborkatjph,418,Rural
Chandgaon,2,Rural
Chandpurhabig,77,Rural
Chandpurhabig,1,Rural
Chandra,2,Rural
Chapainababganj,1,Rural
Chapainawabganj,3700,Rural
charamaddibrsl,5,Rural
Charavitajsr,2,Rural
Charbhadrasan,2,Rural
Charfassion,555,Rural
Charfession,1,Rural
Charghat,1300,Rural
Charrajibpur,165,Rural
Chatarpaiya,186,Rural
Chatmohar,374,Rural
Chatmoharsadar,287,Rural
Chauddagram,399,Rural
Chayabithijydbp,2,Rural
Chhatak,1344,Rural
Chhatak,1,Rural
Chilmari,820,Rural
Chinishpur,5,Rural
Chirirbandar,112,Rural
Chittagong,2011,Urban
Chougachha,778,Rural
Choumohanisyl,200,Rural
Chowmohoni,2190,Rural
Chuadanga,2265,Rural
Chunarughat,1148,Rural
Chutipur,2,Rural
Comilla,3273,Urban
Comillaremote230,1,Rural
Companiganjnk,6,Rural
Companiganjsyl,197,Rural
Cox Bazar,233,Rural
Coxbazar,127,Rural
Coxs Bazar,,Rural
Coxsbazarsadar,36,Rural
CTG,2,Rural
Cumilla,2,Rural
Dairyfarmsavar,4,Rural
Dashmina,320,Rural
Dattaparatongi,,Rural
Daudkandi,2,Rural
Daulatpur,4528,Rural
Daulatpurmanikganj,100,Rural
Debidwar,8,Rural
Debiganj,3656,Rural
Debpara,238,Rural
Demra,116,Rural
Derai,843,Rural
Dewangonj,154,Rural
Dhaka,10881,Urban
Dhakaremote150,1,Rural
Dhakaremote251,1,Rural
Dhamoirhat,1303,Rural
Dhanbari,690,Rural
Dhankhaliptkh,140,Rural
Dharmapasha,253,Rural
Dhobaura,452,Rural
Dhulauripbn,507,Rural
Dhunot,2107,Rural
Dighalia,655,Rural
Dimla,2065,Rural
Dinajpur,1362,Rural
dohar,1,Rural
Domar,3883,Rural
Dorsona,470,Rural
Doulatkhan,8,Rural
Doulatkhansadar,1144,Rural
Dowarabazar,198,Rural
Dudhnoijhenaigati,29,Rural
Dulatpur,,Rural
Dumuria,333,Rural
Dupchanchia,2,Rural
Durgapurchnght,287,Rural
Durgapurntk,327,Rural
Durgapurraj,234,Rural
Durmutmelandah,53,Rural
Eidgaoncoxsb,89,Rural
Eidgaonsadar,1335,Rural
Ekrampurksrg,252,Rural
Enayetpurhthz,128,Rural
EPZ Moulvibazarsadar,1,Rural
Epzmoulvibazar,521,Rural
Ezjamalpur,2,Rural
Fakirhat,166,Rural
